"phase","mag"
0.00249169435215947,-2.25567751467066
0.00996677740863787,-2.30363867905944
0.0315614617940199,-2.35713866733103
0.0340531561461794,-2.30881865353615
0.0390365448504983,-2.25619619634673
0.0506644518272425,-2.33731941062181
0.0664451827242525,-2.41136399452169
0.0730897009966777,-2.45953821063584
0.0930232558139535,-2.45658241023482
0.103820598006645,-2.41649194507146
0.133720930232558,-2.5681728196285
0.1578073089701,-2.56812176427502
0.160299003322259,-2.62986444338354
0.163621262458472,-2.67053673472828
0.17358803986711,-2.62807369927365
0.180232558139535,-2.62000107998256
0.200166112956811,-2.57111593636875
0.214285714285714,-2.5516624879094
0.215116279069767,-2.58757002601018
0.220099667774086,-2.65867247103459
0.244186046511628,-2.57934028366836
0.249169435215947,-2.54212073594764
0.252491694352159,-2.45610820686442
0.259966777408638,-2.4388084683774
0.262458471760797,-2.40137141430919
0.267441860465116,-2.3765204247343
0.268272425249169,-2.48597055345389
0.273255813953488,-2.44182082061594
0.276578073089701,-2.38752337724257
0.284053156146179,-2.44094240411048
0.288205980066445,-2.46574454669323
0.293189368770764,-2.39955858922206
0.311461794019934,-2.27894181448358
0.322259136212625,-2.29764645274135
0.323920265780731,-2.31090555403337
0.352990033222591,-2.31419878731298
0.354651162790698,-2.33577927844697
0.363787375415282,-2.29395238632787
0.374584717607973,-2.37705557018124
0.381229235880399,-2.2696389931473
0.382890365448505,-2.28769818740981
0.388704318936877,-2.33736093309876
0.394518272425249,-2.29268368242863
0.402823920265781,-2.41096680297252
0.410299003322259,-2.33240472642795
0.411129568106312,-2.35997981637311
0.412790697674419,-2.30893007374924
0.430232558139535,-2.31834159818241
0.43936877076412,-2.37703824457759
0.442691029900332,-2.36248000768188
0.463455149501661,-2.36114850202858
0.479235880398671,-2.3451512777474
0.487541528239203,-2.38913267182859
0.490863787375415,-2.43821945763261
0.495847176079734,-2.41015166729851
0.499169435215947,-2.31372993637041
0.5,-2.32371502378489
0.500830564784053,-2.3415554875276
0.506644518272425,-2.33420061669227
0.509136212624585,-2.35642148731327
0.512458471760797,-2.38202756571934
0.520764119601329,-2.43638890012161
0.522425249169435,-2.43331069986825
0.523255813953488,-2.31228875471186
0.532392026578073,-2.31809962062424
0.537375415282392,-2.37459729941413
0.539867109634552,-2.4393057400519
0.544019933554817,-2.44637516519395
0.553986710963455,-2.47201630601586
0.596345514950166,-2.52856331609414
0.600498338870432,-2.50756125669693
0.605481727574751,-2.60349553387941
0.613787375415282,-2.49725241707659
0.624584717607973,-2.58147043930541
0.630398671096346,-2.64699735807136
0.660299003322259,-2.58033736512274
0.676079734219269,-2.66215716833605
0.677740863787375,-2.63676351500272
0.678571428571429,-2.62240108024258
0.683554817275748,-2.61246171245698
0.703488372093023,-2.46849781715925
0.70514950166113,-2.52704653732586
0.709302325581395,-2.64737072589846
0.717607973421927,-2.59741737224475
0.720099667774086,-2.57339772537182
0.720930232558139,-2.52825514634269
0.726744186046512,-2.49573477056121
0.729235880398671,-2.49330610167766
0.730066445182724,-2.56323784720024
0.740863787375415,-2.40796513380971
0.742524916943522,-2.40628540258255
0.743355481727575,-2.49892073551002
0.768272425249169,-2.43383920052621
0.79485049833887,-2.415342020455
0.800664451827243,-2.38855727003957
0.807308970099668,-2.27274201963289
0.812292358803987,-2.30040342372145
0.818106312292359,-2.20867430215861
0.8421926910299,-2.25487162721904
0.843853820598007,-2.22243629500509
0.853820598006645,-2.27269309683424
0.858803986710963,-2.25213590503448
0.863787375415282,-2.27521228316596
0.869601328903654,-2.17386640106507
0.878737541528239,-2.35277269127546
0.885382059800664,-2.2558081838014
0.887043189368771,-2.28167577224499
0.890365448504983,-2.18410517489666
0.896179401993355,-2.23858237699822
0.90531561461794,-2.17514801353368
0.908637873754153,-2.15761113024624
0.918604651162791,-2.17653344584538
0.927740863787375,-2.31179359337094
0.928571428571429,-2.31055184455884
0.950166112956811,-2.28121054691656
0.95514950166113,-2.36347645171608
0.962624584717608,-2.20764816081998
0.963455149501661,-2.33055815060356
0.96843853820598,-2.20671297259559
0.992524916943522,-2.27839459752705
