  2.1189511    0.235160    0.2021   83.170    f_0
  4.2379699    0.083192    4.4638   81.173   2f_0
  6.3567948    0.025942    2.5909   69.957   3f_0
  8.4750872    0.003859    0.9586   25.783   4f_0
 10.5955076    0.004677    2.0603   26.972   5f_0
 12.7142172    0.005179    0.1356   32.102   6f_0
 14.8329821    0.003394    4.4305   24.368   7f_0
 16.9521809    0.002134    2.1695   16.597   8f_0
 19.0711250    0.000924    0.0034    9.907   9f_0_
 21.1895828    0.000362    2.6349    5.089   10f_0
 23.3090458    0.000650    0.1582    8.902   11f_0
 25.4280815    0.000657    4.1858    9.371   12f_0
 27.5470715    0.000427    2.1154    5.925   13f_0
  0.0557860    0.002250    3.5242   11.027   f_m
  0.1130970    0.005032    2.0600   21.865   2f_m
  2.0706120    0.001003    4.3047    6.254   f_0-f_m
  2.1719539    0.004580    5.3412   17.976   f_0+f_m
  4.1836190    0.000864    4.5330    5.714   2f_0-f_m
  4.2913609    0.004452    2.8623   22.069   2f_0+f_m
  6.3063798    0.000914    1.7760    7.603   3f_0-f_m
  6.4105959    0.003799    1.2182   19.970   3f_0+f_m
  8.4165525    0.000603    2.4485    5.293   4f_0-f_m
  8.5297117    0.002889    6.1076   18.665   4f_0+f_m
 10.5445929    0.000403    4.8041    3.957   5f_0-f_m
 10.6492252    0.001437    4.1638   10.704   5f_0+f_m
 12.7694759    0.000618    2.3372    6.028   6f_0+f_m
 17.0050011    0.000589    2.2322    7.826   8f_0+f_m
 19.1245899    0.000586    0.3344    6.950   9f_0+f_m
 21.2440968    0.000399    4.5191    5.034  10f_0+f_m
  3.1588659    0.002119    2.9665    9.251   f_2
  3.6308789    0.002844    1.0416   17.450   f_1
  0.5557140    0.000579    1.4162    3.590  2f_0-f_m-f_1
  0.6137300    0.000967    4.3577    5.458  2f_0-f_1
  0.9815810    0.000673    5.9134    4.446  f_2-f_0-f_m
  1.0310810    0.000907    4.4587    5.680  2f_0-f_m-f_2
  1.0892100    0.000625    0.2036    4.373  2f_0-f_2
  1.1364660    0.000529    0.0723    4.307  2f_0+f_m-f_2
  1.5060490    0.001430    3.0864    9.914  f_1-f_0
  2.7380049    0.000817    0.5867    4.017  3f_0-f_1
  3.0997059    0.001693    2.0588    7.816  f_2-f_m
  3.2565880    0.000691    5.0736    4.663  3f_0+f_m-f_2
  4.8528800    0.000808    4.6690    5.310  4f_0-f_1
  5.1331830    0.000699    1.0265    4.088  2f_1-f_0
  5.2227440    0.000559    0.6052    4.755  f_0-f_m+f_2
  5.2794271    0.000596    6.1065    4.413  f_0+f_2
  5.3320541    0.000404    0.1849    3.706  f_0+f_m+f_2
  5.3743072    0.000564    2.6932    5.144  4f_0+f_m-f_2
  5.6918921    0.000502    1.0524    3.988  f_0-f_m+f_1
  5.7496319    0.002907    5.7320   18.811  f_0+f_1
  6.9680071    0.000622    3.9101    4.517  5f_0-f_1
  7.2510352    0.000450    3.3737    3.567  2f_1
  7.3422809    0.000408    6.1252    3.540  2f_0-f_m+f_2
  7.3839550    0.000509    2.9947    4.455  5f_0-f_m+f_2
  7.3946028    0.001058    5.1992    8.021  2f_0+f_2
  7.8696060    0.001498    3.8452   10.900  2f_0+f_1
  8.9037333    0.000488    1.7403    5.396  f_0+f_1+f_2
  8.9577160    0.000431    3.1197    4.556  f_0+f_m+f_1+f_2
  9.0911274    0.000523    1.7513    4.075  6f_0-f_1
  9.3717070    0.000840    2.8583    5.426  f_0+2f_1
  9.4592342    0.000536    4.5554    4.219  3f_0-f_m+f_2
  9.5042696    0.000520    1.3052    4.413  6f_0-f_m-f_2
  9.5122747    0.001021    3.4523    7.300  3f_0+f_2
  9.9870539    0.002025    2.1231   14.298  3f_0+f_1
 10.0394773    0.000660    4.7210    5.748  3f_0+f_m+f_1
 11.4905624    0.000896    0.9388    6.940  2f_0+2f_1
 11.5774755    0.000494    2.9245    4.427  4f_0-f_m+f_2
 11.6231632    0.000689    6.1547    6.080  7f_0-f_m-f_2  
 11.6310463    0.000901    1.6964    7.590  4f_0+f_2
 12.1040316    0.001536    0.2982   12.757  4f_0+f_1
 12.1594105    0.000564    3.3520    5.916  4f_0+f_m+f_1
 13.6098433    0.000621    5.4812    5.738  3f_0+2f_1
 13.7422590    0.000518    4.7605    5.055  8f_0-f_m-f_2
 13.7495470    0.000543    5.8919    5.436  5f_0+f_2
 14.2228832    0.001424    4.3996   12.419  5f_0+f_1
 14.2800894    0.000424    1.1744    5.263  5f_0+f_m+f1
 15.8649635    0.000590    3.1909    6.673  9f_0-f_m-f_2
 16.3416233    0.001096    2.4098   11.503  6f_0+f_1
 18.4694328    0.000364    2.2220    4.735  7f_0+f_1
 20.5785885    0.000401    5.4055    5.082  8f_0+f_1
