"phase","mag"
0.00249169435215947,-2.25844637653074
0.00996677740863787,-2.26686712298817
0.0315614617940199,-2.31069668758546
0.0340531561461794,-2.31679418067641
0.0390365448504983,-2.32938944838224
0.0506644518272425,-2.36030235755195
0.0664451827242525,-2.40401589282938
0.0730897009966777,-2.42255267860441
0.0930232558139535,-2.47699575002975
0.103820598006645,-2.50499889419574
0.133720930232558,-2.57288064691368
0.1578073089701,-2.61075603917718
0.160299003322259,-2.61325283620656
0.163621262458472,-2.61590604669003
0.17358803986711,-2.61467111120988
0.180232558139535,-2.60899075950127
0.200166112956811,-2.58320706591969
0.214285714285714,-2.5597281927491
0.215116279069767,-2.55824670962027
0.220099667774086,-2.54915677273266
0.244186046511628,-2.5013909060578
0.249169435215947,-2.49094568762108
0.252491694352159,-2.48391654860341
0.259966777408638,-2.46797104989942
0.262458471760797,-2.46263268997536
0.267441860465116,-2.45195100059494
0.268272425249169,-2.45017233336701
0.273255813953488,-2.43952850373548
0.276578073089701,-2.43247520465955
0.284053156146179,-2.41681554380754
0.288205980066445,-2.40829504489659
0.293189368770764,-2.39830201729519
0.311461794019934,-2.36504498539565
0.322259136212625,-2.34950395003367
0.323920265780731,-2.34753499269027
0.352990033222591,-2.33981542382419
0.354651162790698,-2.33981542382419
0.363787375415282,-2.33981542382419
0.374584717607973,-2.33981542382419
0.381229235880399,-2.33981542382419
0.382890365448505,-2.33981542382419
0.388704318936877,-2.33981542382419
0.394518272425249,-2.33981542382419
0.402823920265781,-2.33981542382419
0.410299003322259,-2.33981542382419
0.411129568106312,-2.33981542382419
0.412790697674419,-2.33981542382419
0.430232558139535,-2.33981542382419
0.43936877076412,-2.33981542382419
0.442691029900332,-2.33981542382419
0.463455149501661,-2.33981542382419
0.479235880398671,-2.33981542382419
0.487541528239203,-2.33981542382419
0.490863787375415,-2.33981542382419
0.495847176079734,-2.33981542382419
0.499169435215947,-2.33981542382419
0.5,-2.33981542382419
0.500830564784053,-2.33981542382419
0.506644518272425,-2.34328823188193
0.509136212624585,-2.34571116199544
0.512458471760797,-2.34950395003367
0.520764119601329,-2.36110203406845
0.522425249169435,-2.36371036634205
0.523255813953488,-2.36504498539565
0.532392026578073,-2.38086683114551
0.537375415282392,-2.39021475039361
0.539867109634552,-2.39503813176474
0.544019933554817,-2.40326325269632
0.553986710963455,-2.42373209923439
0.596345514950166,-2.51338597471491
0.600498338870432,-2.52179942045549
0.605481727574751,-2.53169452836243
0.613787375415282,-2.54760994588298
0.624584717607973,-2.56698079291757
0.630398671096346,-2.57666411789996
0.660299003322259,-2.61407715592538
0.676079734219269,-2.61163027896926
0.677740863787375,-2.60984276618117
0.678571428571429,-2.60889231464772
0.683554817275748,-2.60248994756688
0.703488372093023,-2.56792940420472
0.70514950166113,-2.56454437318451
0.709302325581395,-2.55580361673742
0.717607973421927,-2.53723749341356
0.720099667774086,-2.53141263976754
0.720930232558139,-2.52944686781394
0.726744186046512,-2.51536905926821
0.729235880398671,-2.50917648952664
0.730066445182724,-2.50709248631915
0.740863787375415,-2.4791967647594
0.742524916943522,-2.47478780459504
0.743355481727575,-2.47257312164806
0.768272425249169,-2.40401589282938
0.79485049833887,-2.33153405015078
0.800664451827243,-2.31679418067641
0.807308970099668,-2.3008888018723
0.812292358803987,-2.28981761886573
0.818106312292359,-2.27811194809382
0.8421926910299,-2.25772496747986
0.843853820598007,-2.25772496747986
0.853820598006645,-2.25772496747986
0.858803986710963,-2.25772496747986
0.863787375415282,-2.25772496747986
0.869601328903654,-2.25772496747986
0.878737541528239,-2.25772496747986
0.885382059800664,-2.25772496747986
0.887043189368771,-2.25772496747986
0.890365448504983,-2.25772496747986
0.896179401993355,-2.25772496747986
0.90531561461794,-2.25772496747986
0.908637873754153,-2.25772496747986
0.918604651162791,-2.25772496747986
0.927740863787375,-2.25772496747986
0.928571428571429,-2.25772496747986
0.950166112956811,-2.25772496747986
0.95514950166113,-2.25772496747986
0.962624584717608,-2.25772496747986
0.963455149501661,-2.25772496747986
0.96843853820598,-2.25772496747986
0.992524916943522,-2.25772496747986
